,topicid,title,ranking,acmId
0,1,Improving selection of off-screen targets with hopping,2,1124818
1,1,Visualizing Locations of Off-screen Objects on Mobile Devices: A Comparative Evaluation of Three Approaches,3,1152266
2,1,Comparing Visualizations for Tracking Off-screen Moving Targets,3,1241014
3,1,Melange: space folding for multi-focus interaction,1,1357263
4,1,Usability Engineering for Mobile Maps,1,1378150
5,1,Zooming Interfaces for Augmented Reality Browsers,0,1851629
6,1,Evaluation of an Off-screen Visualization for Magic Lens and Dynamic Peephole Interfaces,2,1851632
7,1,Visualization of Off-screen Objects in Mobile Augmented Reality,3,1851655
8,1,Off-screen Visualization Techniques for Class Diagrams,1,1879236
9,1,Characterizing User Performance with Assisted Direct Off-screen Pointing,1,2037445
10,1,EdgeSplit: Facilitating the Selection of Off-screen Objects,3,2371588
11,1,Dynamic Visualization of Large Numbers of Off-screen Objects on Mobile Devices: An Experimental Comparison of Wedge and Overview+Detail,3,2371590
12,1,On the Effectiveness of Overview+Detail Visualization on Mobile Devices,0,2434670
13,1,City Lights: Contextual Views in Minimal Space,3,766022
14,1,ZoneZoom: Map Navigation for Smartphones with Recursive View Segmentation,1,989901
15,2,Local Fisher discriminant analysis for supervised dimensionality reduction,2,1143958
16,2,An Adaptive and Dynamic Dimensionality Reduction Method for High-dimensional Indexing,3,1229059
17,2,Dimensionality Reduction of Multimodal Labeled Data by Local Fisher Discriminant Analysis,3,1248694
18,2,Locality Condensation: A New Dimensionality Reduction Method for Image Retrieval,2,1459389
19,2,Information Retrieval Perspective to Nonlinear Dimensionality Reduction for Data Visualization,1,1756019
20,2,Multilabel Dimensionality Reduction via Dependence Maximization,2,1839495
21,2,Dimensionality Reduction for Text Using Domain Knowledge,1,1944658
22,2,Effective data co-reduction for multimedia similarity search,2,1989430
23,2,A Unifying Probabilistic Perspective for Spectral Dimensionality Reduction: Insights and New Models,2,2343695
24,2,The IGrid index: reversing the dimensionality curse for similarity indexing in high dimensional space,3,347116
25,2,Dimensionality reduction and similarity computation by inner product approximations,3,354822
26,2,Outlier detection for high dimensional data,3,375668
27,2,Random projection in dimensionality reduction: applications to image and text data,2,502546
28,2,Towards Effective and Interpretable Data Mining by Visual Interaction,0,507518
29,2,The Convex Polyhedra Technique: An Index Structure for High-dimensional Space,2,563910
30,3,A Scalable Topic-Based Open Source Search Engine,0,1026324
31,3,Modeling online reviews with multi-grain topic models,0,1367513
32,3,Efficient methods for topic model inference on streaming document collections,0,1557121
33,3,Generating comparative summaries of contradictory opinions in text,3,1646004
34,3,Not-so-latent Dirichlet Allocation: Collapsed Gibbs Sampling Using Human Judgments,0,1866716
35,3,Pattern and Keyword Based Opinion Analysis from Opinionated Texts,1,1980158
36,3,Detection of Web Users' Opinion from Multimodal Opinion Elements,1,1980438
37,3,A Pilot Study of Opinion Summarization in Conversations,1,2002515
38,3,A Hierarchical Model of Web Summaries,1,2002866
39,3,Tracking trends: incorporating term volume into temporal topic models,0,2020485
40,3,A time-dependent topic model for multiple text streams,0,2020551
41,3,Mining Contrastive Opinions on Political Texts Using Cross-perspective Topic Model,3,2124306
